AQ_type,AQ_slope,R2,lower_ci_slope,upper_ci_slope,ci_contains_zero
AQ_social,0.014882803761396958,0.021107353186607836,-0.04048162828006996,0.02605505716807503,True
AQ_attentional_switches,0.04222977258305076,0.04578720909856737,-0.04226949671395267,0.025364676778386847,True
AQ_attencion_detail,-0.018632467478072522,0.023467963551829008,-0.041623449846488386,0.02575146482024104,True
AQ_communication,-0.03500348627711437,0.04076873540100023,-0.043418663596127616,0.025070385690860432,True
AQ_imagination,-0.03714194931542724,0.041009508959419794,-0.04246020315780363,0.02558979354301401,True
AQ,-0.018132909549633765,0.04992898053452921,-0.04990650011949134,0.016154844738449664,True
AQ_social,-0.029686468227669995,0.034433224075407276,-0.04951249516102576,0.01447899338645831,True
AQ_attentional_switches,-0.032344953888627695,0.038741014714260835,-0.052710268785534066,0.016459069876310004,True
AQ_attencion_detail,-0.04829180086318559,0.06066872816703206,-0.04956625339299527,0.016781850669634363,True
AQ_communication,0.024419967482717887,0.028747230516939504,-0.04962334185954865,0.01652082381678165,True
AQ_imagination,-0.007928697508203913,0.01789437313564579,-0.05349261931158368,0.015830810256555448,True
AQ,0.019119907338595036,0.049891783408333445,-0.012412473221782065,0.05163120089572208,True
AQ_social,0.039853299811198346,0.04743775658776073,-0.015615728243639224,0.05140218058326428,True
AQ_attentional_switches,-0.016863910933535186,0.02288971362262804,-0.011936283969085002,0.04982295605717773,True
AQ_attencion_detail,0.019972186206113615,0.022598549280753555,-0.011350685500588117,0.05021524502991218,True
AQ_communication,-0.0015218731543576844,0.01686601644129604,-0.015656768371235846,0.048895702537704526,True
AQ_imagination,0.049542342798715173,0.06938761403436344,-0.01281379704765274,0.04826776107713534,True
AQ,-0.026908359250891637,0.07955663048747474,-0.07229694674879275,0.009534523154170338,True
AQ_social,-0.007630904563294501,0.01758387155263108,-0.06884085503737948,0.009722747970961967,True
AQ_attentional_switches,-0.027779460788384697,0.02925781650757986,-0.07126695168553261,0.006385314555895522,True
AQ_attencion_detail,0.06473970689839761,0.09233089143198425,-0.07115384986231167,0.007751205035260602,True
AQ_communication,-0.07434952859340042,0.1127874710499297,-0.07090928141699748,0.008215138480511953,True
AQ_imagination,-0.07279827730641819,0.1376306023503434,-0.07017324664851811,0.006910260359117365,True
AQ,-0.00251186392192133,0.01734590752121734,-0.026392634961039378,0.02391445688193932,True
AQ_social,0.003556125420994042,0.017134856144934263,-0.024870308055795584,0.02192759175498084,True
AQ_attentional_switches,0.0011621549918944699,0.016844995725278977,-0.026178540372265385,0.021766987115594244,True
AQ_attencion_detail,0.0013012325306625656,0.016855458680827384,-0.02813741018104972,0.023150613851987304,True
AQ_communication,-0.02957793437584345,0.02837331212450034,-0.02496762730448246,0.0219831516152156,True
AQ_imagination,0.0032144995364523777,0.016976158316653,-0.02593470604338328,0.02440304978278805,True
AQ,0.02059479110232291,0.057168288621636476,-0.010683073769769375,0.05316014981004622,True
AQ_social,0.015589855344671208,0.02068351549850045,-0.014755991044316493,0.054709606153986894,True
AQ_attentional_switches,-0.03459646085679092,0.040914706511548826,-0.01033962425282402,0.054886989125301336,True
AQ_attencion_detail,0.05404642004296222,0.0602600258051853,-0.011545495686945099,0.05545764501987104,True
AQ_communication,0.044392085996474734,0.0559587973801563,-0.009089724911888596,0.05546612102096711,True
AQ_imagination,0.04525614879124482,0.049515377633183366,-0.013192730784437483,0.0559371267053614,True
AQ,-0.011718869194348211,0.03552069834361549,-0.03485549319167778,0.009390972808713852,True
AQ_social,-0.0630368442756268,0.12602101555624368,-0.03182548547046044,0.010678501164938963,True
AQ_attentional_switches,-0.019294774903019788,0.02224436103206473,-0.03414521207764285,0.011278948000041002,True
AQ_attencion_detail,0.014950667056939634,0.022024050153144348,-0.03557249635402045,0.01024745305405283,True
AQ_communication,-0.00941085466146746,0.018510538558572875,-0.033721966575717764,0.010718703920645048,True
AQ_imagination,0.011865592931754309,0.01977878756753393,-0.0346952596301603,0.01034444035165473,True
AQ,-0.012876661780072012,0.030869395336414862,-0.04667363551206268,0.02937686531481529,True
AQ_social,-0.05102090374250913,0.0754069519392776,-0.04622462465130521,0.030215952479495697,True
AQ_attentional_switches,-0.08591961621833867,0.15841289914286216,-0.04942927253575263,0.0287332478587082,True
AQ_attencion_detail,0.03136253087991699,0.03957454681669037,-0.04712283008389293,0.028490744973689676,True
AQ_communication,0.013801251528791142,0.02032171647275549,-0.04618699785585735,0.03003049225025765,True
AQ_imagination,0.03702226075460838,0.043707409145674725,-0.04518006384904677,0.028696616000998088,True
AQ,-0.0462860038166116,0.16311901222022818,-0.08120820699341358,-0.013237893209555998,False
AQ_social,-0.07565388992431936,0.1437694469463343,-0.08219575774684973,-0.013328071875863838,False
AQ_attentional_switches,0.021781882461211224,0.0253019795648749,-0.08117511180712488,-0.01237397542138193,False
AQ_attencion_detail,-0.03314693512205344,0.03670534369955536,-0.08407493653163345,-0.013373854315902881,False
AQ_communication,-0.055269855194909526,0.0722098620315903,-0.08034473421486252,-0.010437443504230511,False
AQ_imagination,-0.021984440165054388,0.02275847625045513,-0.08438246342611064,-0.007843883225791944,False
AQ,-0.008647221105617782,0.023187653564353816,-0.03938892713930907,0.03412458598869805,True
