"rt","stimulus","response","participant","trial"
1933.29999995232,"videos/fs1o.mp4",38,35,5
2612.39999985695,"dot1_26",50,35,6
7077,"videos/fs1yo.mp4",500,36,1
4762,"dot1_13_26",60,36,2
5600,"videos/fs2y.mp4",450,36,3
3323,"dot2_26",70,36,4
5076,"videos/fs2o.mp4",400,36,5
4204,"dot2_52",120,36,6
8340.10000002384,"videos/fs1yo.mp4",12,37,1
5004.69999992847,"dot1_13_26",30,37,2
4475.10000002384,"videos/fs2y.mp4",15,37,3
3405,"dot2_26",30,37,4
8405.70000004768,"videos/fs2o.mp4",17,37,5
3655.5,"dot2_52",41,37,6
5510,"videos/fs2yo.mp4",25,38,1
9349,"dot2_26_52",20,38,2
5254,"videos/fs1y.mp4",15,38,3
2582,"dot1_13",15,38,4
3607,"videos/fs1o.mp4",30,38,5
3163,"dot1_26",20,38,6
5769.89999999944,"videos/fs2yo.mp4",8,39,1
10708.2999999998,"dot2_26_52",100,39,2
5290.79999999981,"videos/fs1y.mp4",7,39,3
5727.29999999981,"dot1_13",15,39,4
6122.09999999963,"videos/fs1o.mp4",16,39,5
5211.19999999925,"dot1_26",50,39,6
6126.5,"videos/fs1yo.mp4",20,40,1
4703.39999999851,"dot1_13_26",25,40,2
4577,"videos/fs2y.mp4",10,40,3
3673.59999999776,"dot2_26",25,40,4
3322.39999999851,"videos/fs2o.mp4",15,40,5
3533.5,"dot2_52",50,40,6
10592.9000000022,"videos/fs2yo.mp4",14,41,1
3152.90000000224,"dot2_26_52",30,41,2
2742.10000000149,"videos/fs1y.mp4",42,41,3
2462.80000000075,"dot1_13",13,41,4
2732.5,"videos/fs1o.mp4",16,41,5
2658.80000000075,"dot1_26",25,41,6
8735,"videos/fs1yo.mp4",22,42,1
7160.39999997616,"dot1_13_26",30,42,2
3263.29999995232,"videos/fs2y.mp4",10,42,3
4641.20000004768,"dot2_26",40,42,4
4250,"videos/fs2o.mp4",16,42,5
4890.80000007153,"dot2_52",80,42,6
11113.5,"videos/fs1yo.mp4",28,43,1
6388.90000000037,"dot1_13_26",30,43,2
5709.80000000075,"videos/fs2y.mp4",20,43,3
5192.69999999925,"dot2_26",30,43,4
10450.3000000007,"videos/fs2o.mp4",20,43,5
10241.6000000015,"dot2_52",40,43,6
7712,"videos/fs1yo.mp4",32,44,1
8252.60000014305,"dot1_13_26",20,44,2
4051.79999995232,"videos/fs2y.mp4",8,44,3
4484.70000004768,"dot2_26",25,44,4
4987.20000004768,"videos/fs2o.mp4",21,44,5
3870.70000004768,"dot2_52",30,44,6
